;atım;bin;genlik;isoutlier
0;0,0;0,0;9617,559958419888;1
1;0,0;1,0;10450,197803941885;1
2;0,0;2,0;10948,290775008076;1
3;0,0;3,0;11401,728527652584;1
4;0,0;4,0;11894,124293327044;1
5;0,0;5,0;11442,379762739698;1
6;0,0;6,0;10915,62131420851;1
7;0,0;7,0;10922,532922153741;1
8;0,0;8,0;9952,143449350626;1
9;0,0;9,0;8653,060120115553;0
10;0,0;10,0;7435,880888966623;0
11;0,0;11,0;6901,2908254220965;0
12;0,0;12,0;6647,615587987482;0
13;0,0;13,0;7230,774442021678;0
14;0,0;14,0;7474,3925528423315;0
15;0,0;15,0;7410,005990629354;0
16;0,0;16,0;7535,065455724789;0
17;0,0;17,0;5396,370694884367;0
18;0,0;18,0;4354,278518798157;0
19;0,0;19,0;2989,5452050857266;0
20;0,0;20,0;3014,950996559854;0
21;0,0;21,0;4004,419449811978;0
22;0,0;22,0;4605,078214730017;0
23;0,0;23,0;4162,839547273401;0
24;0,0;24,0;3856,0904708490907;0
25;0,0;25,0;3593,6234469437068;0
26;0,0;26,0;3470,2290344957614;0
27;0,0;27,0;2651,603206411875;0
28;0,0;28,0;2330,5949848870005;0
29;0,0;29,0;2110,130744735765;0
30;0,0;30,0;959,4708985066284;0
31;0,0;31,0;1046,2057387347152;0
32;0,0;32,0;834,5573524149835;0
33;0,0;33,0;1225,3518871822016;0
34;0,0;34,0;1017,3319421082883;0
35;0,0;35,0;887,8781959681529;0
36;0,0;36,0;1138,7597724826508;0
37;0,0;37,0;2324,82425218188;0
38;0,0;38,0;1769,9825149739952;0
39;0,0;39,0;2417,4483626848546;0
40;0,0;40,0;3067,804038431172;0
41;0,0;41,0;3512,562811919545;0
42;0,0;42,0;3130,8282193041;0
43;0,0;43,0;3761,6856957476807;0
44;0,0;44,0;3301,630773063572;0
45;0,0;45,0;2945,609649257785;0
46;0,0;46,0;3048,2303686394134;0
47;0,0;47,0;2986,459248725025;0
48;0,0;48,0;3224,293633799971;0
49;0,0;49,0;3775,1782476911408;0
50;0,0;50,0;3838,0875469341345;0
51;0,0;51,0;3541,307636097055;0
52;0,0;52,0;2310,893036885712;0
53;0,0;53,0;1837,1190563205655;0
54;0,0;54,0;909,6936808294381;0
55;0,0;55,0;1306,2174925649083;0
56;0,0;56,0;2920,048610605932;0
57;0,0;57,0;3288,9523097776846;0
58;0,0;58,0;3037,589872935562;0
59;0,0;59,0;2297,087142061601;0
60;0,0;60,0;1606,676485292111;0
61;0,0;61,0;437,656454970538;0
62;0,0;62,0;336,8469651836921;0
63;0,0;63,0;890,9079639404205;0
64;0,0;64,0;549,2169289100292;0
65;0,0;65,0;592,9029233386532;0
66;0,0;66,0;1481,7580053650026;0
67;0,0;67,0;2119,779896400798;0
68;0,0;68,0;2590,8441537290933;0
69;0,0;69,0;2673,3553730080002;0
70;0,0;70,0;1617,381695833535;0
71;0,0;71,0;431,67985680518444;0
72;0,0;72,0;2994,8462201021825;0
73;0,0;73,0;4578,0486936170355;0
74;0,0;74,0;6714,620792536424;0
75;0,0;75,0;6743,094115679483;0
76;0,0;76,0;6653,808608770937;0
77;0,0;77,0;6281,107655324401;0
78;0,0;78,0;4965,440271408429;0
79;0,0;79,0;5272,939212675277;0
80;0,0;80,0;5719,087774086013;0
81;0,0;81,0;5957,156609413717;0
82;0,0;82,0;6118,316477570743;0
83;0,0;83,0;5862,8812121242145;0
84;0,0;84,0;5907,16497560024;0
85;0,0;85,0;5891,032794599628;0
86;0,0;86,0;5324,235285584918;0
87;0,0;87,0;6353,296868522693;0
88;0,0;88,0;5466,913187316844;0
89;0,0;89,0;4932,117515887013;0
90;0,0;90,0;4421,096818615447;0
91;0,0;91,0;3813,3727020205315;0
92;0,0;92,0;3527,7126550270314;0
93;0,0;93,0;3301,8279809638843;0
94;0,0;94,0;2900,3922832202247;0
95;0,0;95,0;2087,8416712664125;0
96;0,0;96,0;3094,8461622782884;0
97;0,0;97,0;3505,2962343269337;0
98;0,0;98,0;4570,359905271563;0
99;0,0;99,0;5006,433073750474;0
100;0,0;100,0;3927,9511796515435;0
101;0,0;101,0;3774,8301641846547;0
102;0,0;102,0;2936,711632460553;0
103;0,0;103,0;2849,8387884163194;0
104;0,0;104,0;2529,7928306215126;0
105;0,0;105,0;2153,953658442768;0
106;0,0;106,0;2315,918538476574;0
107;0,0;107,0;3677,6823073739615;0
108;0,0;108,0;4891,504159965065;0
109;0,0;109,0;5800,276110243583;0
110;0,0;110,0;5957,449594671655;0
111;0,0;111,0;5184,930796662188;0
112;0,0;112,0;4501,313326018903;0
113;0,0;113,0;4131,9756685243765;0
114;0,0;114,0;4560,362827365309;0
115;0,0;115,0;3986,354735848221;0
116;0,0;116,0;3156,8007275977016;0
117;0,0;117,0;2352,728510159045;0
118;0,0;118,0;2143,7306423720447;0
119;0,0;119,0;2663,665139210164;0
120;0,0;120,0;3222,404070992792;0
121;0,0;121,0;2493,6194684265574;0
122;0,0;122,0;3595,260056560563;0
123;0,0;123,0;5402,183786732747;0
124;0,0;124,0;6735,096692116626;0
125;0,0;125,0;7533,9437726894985;0
126;0,0;126,0;6619,691403361263;0
127;0,0;127,0;5064,755580660732;0
128;1,0;0,0;4261,205837389665;0
129;1,0;1,0;4167,507117639389;0
130;1,0;2,0;4685,737732370246;0
131;1,0;3,0;5421,328572269409;0
132;1,0;4,0;5798,059576765384;0
133;1,0;5,0;5698,21639750854;0
134;1,0;6,0;6098,345403337598;0
135;1,0;7,0;6492,797554616406;0
136;1,0;8,0;7056,165922166695;0
137;1,0;9,0;8246,115433732231;0
138;1,0;10,0;9618,176398498414;1
139;1,0;11,0;10639,30510609953;1
140;1,0;12,0;10795,605015612418;1
141;1,0;13,0;10117,590511870476;1
142;1,0;14,0;8785,214354249147;0
143;1,0;15,0;7564,598248776005;0
144;1,0;16,0;6541,907948234203;0
145;1,0;17,0;6316,646538618448;0
146;1,0;18,0;6775,609980910369;0
147;1,0;19,0;7319,422142119613;0
148;1,0;20,0;7003,4777887431965;0
149;1,0;21,0;5872,609256730618;0
150;1,0;22,0;6057,648667527268;0
151;1,0;23,0;6171,8487223446045;0
152;1,0;24,0;6634,20738973553;0
153;1,0;25,0;6552,69348464578;0
154;1,0;26,0;6185,15583408405;0
155;1,0;27,0;5620,035963190549;0
156;1,0;28,0;5035,610996366107;0
157;1,0;29,0;4247,21724610545;0
158;1,0;30,0;3460,7566730913254;0
159;1,0;31,0;3362,5132900911776;0
160;1,0;32,0;2233,773900757738;0
161;1,0;33,0;2344,5746849496613;0
162;1,0;34,0;2239,1966352847876;0
163;1,0;35,0;2890,968224636754;0
164;1,0;36,0;2489,5894890718687;0
165;1,0;37,0;2180,370403841316;0
166;1,0;38,0;2372,437460138183;0
167;1,0;39,0;2636,506322694952;0
168;1,0;40,0;3318,8125328643146;0
169;1,0;41,0;3634,0341653212386;0
170;1,0;42,0;4811,035345796532;0
171;1,0;43,0;5618,715006383965;0
172;1,0;44,0;6439,82869753636;0
173;1,0;45,0;6476,432869362678;0
174;1,0;46,0;5363,229623071986;0
175;1,0;47,0;4323,685963085909;0
176;1,0;48,0;4194,213168458369;0
177;1,0;49,0;3828,109423243117;0
178;1,0;50,0;4137,419518505226;0
179;1,0;51,0;4645,549013719687;0
